,Station,Year,Annual_mm
0,500001,1981,446.5
1,500001,1982,740.9
2,500001,1983,749.4
3,500001,1984,661.5
4,500001,1985,729.0
5,500001,1986,1023.8
6,500001,1987,1009.2
7,500001,1988,1097.0
8,500001,1989,1097.0
9,500001,1990,1122.4
10,500001,1991,1034.4
11,500001,1992,846.0
12,500001,1993,546.8
13,500001,1994,1264.4
14,500001,1995,1064.9
15,500001,1996,947.5
16,500001,1997,1135.0
17,500001,1998,1200.3
18,500001,1999,1512.6
19,500001,2000,942.5
20,500001,2001,1564.8
21,500001,2002,1188.0
22,500001,2003,987.4
23,500001,2004,967.2
24,500001,2005,965.7
25,500001,2006,1290.0
26,500001,2007,1176.7
27,500001,2008,666.0
28,500001,2009,696.4
29,500001,2010,805.6
30,500001,2011,747.7
31,500001,2012,963.2
32,500001,2013,1479.5
33,500001,2014,775.0
34,500002,1981,1298.5
35,500002,1982,994.9
36,500002,1983,1211.7
37,500002,1984,1361.9
38,500002,1985,1582.4
39,500002,1986,1121.4
40,500002,1987,1215.7
41,500002,1988,1457.9
42,500002,1989,1192.6
43,500002,1990,1309.0
44,500002,1991,1518.4
45,500002,1992,977.5
46,500002,1993,1203.2
47,500002,1994,1844.0
48,500002,1995,1561.4
49,500002,1996,1165.4
50,500002,1997,1286.4
51,500002,1998,1243.8999999999999
52,500002,1999,1319.8
53,500002,2000,995.7
54,500002,2001,1834.8
55,500002,2002,1589.1
56,500002,2003,1190.8
57,500002,2004,1505.5
58,500002,2005,1463.9
59,500002,2006,1324.8
60,500002,2007,1755.2
61,500002,2008,1443.5
62,500002,2009,1266.6
63,500002,2010,1411.9
64,500002,2011,1567.0
65,500002,2012,1537.2
66,500002,2013,1592.1
67,500002,2014,1446.2
68,500003,1981,1301.3
69,500003,1982,967.6
70,500003,1983,1023.6
71,500003,1984,1113.5
72,500003,1985,1135.4
73,500003,1986,1010.2
74,500003,1987,1265.7
75,500003,1988,1326.6
76,500003,1989,1224.2
77,500003,1990,1018.1
78,500003,1991,829.1
79,500003,1992,936.7
80,500003,1993,1020.0
81,500003,1994,1524.5
82,500003,1995,1595.5
83,500003,1996,994.9
84,500003,1997,893.7
85,500003,1998,1073.9
86,500003,1999,1217.4
87,500003,2000,1426.8
88,500003,2001,1240.7
89,500003,2002,1443.5
90,500003,2003,1098.5
91,500003,2004,1188.0
92,500003,2005,1265.1
93,500003,2006,1080.5
94,500003,2007,1111.8
95,500003,2008,797.5
96,500003,2009,746.1
97,500003,2010,800.7
98,500003,2011,739.0
99,500003,2012,972.4
100,500003,2013,1143.7
101,500003,2014,874.6
102,500004,1981,1240.8
103,500004,1982,831.1
104,500004,1983,959.1
105,500004,1984,969.2
106,500004,1985,1277.5
107,500004,1986,1215.0
108,500004,1987,1273.6
109,500004,1988,907.0
110,500004,1989,1080.5
111,500004,1990,1078.5
112,500004,1991,1029.9
113,500004,1992,909.5
114,500004,1993,931.0
115,500004,1994,1481.3
116,500004,1995,1371.7
117,500004,1996,876.1
118,500004,1997,934.8
119,500004,1998,908.2
120,500004,1999,1184.5
121,500004,2000,1022.9
122,500004,2001,1207.2
123,500004,2002,1283.5
124,500004,2003,855.6
125,500004,2004,885.3
126,500004,2005,1220.5
127,500004,2006,1199.6
128,500004,2007,1473.8
129,500004,2008,1492.5
130,500004,2009,695.9
131,500004,2010,863.0
132,500004,2011,899.4
133,500004,2012,1339.1
134,500004,2013,1511.7
135,500004,2014,1194.8
136,500005,1981,1281.5
137,500005,1982,1063.2
138,500005,1983,1208.0
139,500005,1984,1075.1
140,500005,1985,1295.5
141,500005,1986,1236.3
142,500005,1987,1245.5
143,500005,1988,1221.0
144,500005,1989,1135.6
145,500005,1990,1150.6
146,500005,1991,1121.9
147,500005,1992,997.6
148,500005,1993,1012.0
149,500005,1994,1369.4
150,500005,1995,1372.8
151,500005,1996,1222.2
152,500005,1997,1018.4
153,500005,1998,1095.5
154,500005,1999,1376.3
155,500005,2000,1237.3
156,500005,2001,1334.8
157,500005,2002,1297.2
158,500005,2003,1080.4
159,500005,2004,1053.3
160,500005,2005,1214.3
161,500005,2006,1266.5
162,500005,2007,1457.0
163,500005,2008,615.3
164,500005,2009,401.0
165,500005,2010,812.9
166,500005,2011,724.1
167,500005,2012,1360.2
168,500005,2013,1528.0
169,500005,2014,1124.3
170,500006,1981,1281.8
171,500006,1982,1080.4
172,500006,1983,1224.8
173,500006,1984,1078.7
174,500006,1985,1294.9
175,500006,1986,1236.4
176,500006,1987,1243.9
177,500006,1988,1244.9
178,500006,1989,1141.7
179,500006,1990,1151.7
180,500006,1991,1129.6
181,500006,1992,1003.1
182,500006,1993,1016.0
183,500006,1994,1354.9
184,500006,1995,1368.6
185,500006,1996,1252.3
186,500006,1997,1022.5
187,500006,1998,1108.8
188,500006,1999,1392.3
189,500006,2000,1253.6
190,500006,2001,1345.0
191,500006,2002,1296.8
192,500006,2003,1097.7
193,500006,2004,1065.0
194,500006,2005,1211.8
195,500006,2006,1270.9
196,500006,2007,1570.4
197,500006,2008,1127.2
198,500006,2009,832.1999999999999
199,500006,2010,897.0
200,500006,2011,1384.8
201,500006,2012,1271.6
202,500006,2013,1532.3
203,500006,2014,1120.3
204,500007,1981,1243.7
205,500007,1982,1067.7
206,500007,1983,1099.6
207,500007,1984,922.5
208,500007,1985,1286.9
209,500007,1986,1198.8
210,500007,1987,1343.9
211,500007,1988,1187.0
212,500007,1989,1207.3
213,500007,1990,956.1
214,500007,1991,1181.7
215,500007,1992,881.1
216,500007,1993,891.1
217,500007,1994,1153.5
218,500007,1995,1233.3
219,500007,1996,1420.0
220,500007,1997,916.4
221,500007,1998,1095.2
222,500007,1999,1430.4
223,500007,2000,1193.9
224,500007,2001,1473.0
225,500007,2002,1310.7
226,500007,2003,1211.6
227,500007,2004,1119.6
228,500007,2005,1152.3
229,500007,2006,1240.5
230,500007,2007,903.6
231,500007,2008,870.1
232,500007,2009,929.0
233,500007,2010,942.8000000000001
234,500007,2011,1067.2
235,500007,2012,1140.2
236,500007,2013,1432.1
237,500007,2014,838.3
238,500008,1981,1317.1
239,500008,1982,1153.2
240,500008,1983,1359.2
241,500008,1984,1112.5
242,500008,1985,1216.2
243,500008,1986,1177.2
244,500008,1987,1146.2
245,500008,1988,1388.5
246,500008,1989,1085.7
247,500008,1990,1154.8
248,500008,1991,1091.7
249,500008,1992,1050.9
250,500008,1993,1049.6
251,500008,1994,1244.6
252,500008,1995,1355.7
253,500008,1996,1402.9
254,500008,1997,1048.4
255,500008,1998,1165.3
256,500008,1999,1464.1
257,500008,2000,1318.6
258,500008,2001,1329.1
259,500008,2002,1191.9
260,500008,2003,1246.4
261,500008,2004,1043.1
262,500008,2005,1195.3
263,500008,2006,1275.5
264,500008,2007,1248.0
265,500008,2008,1149.1
266,500008,2009,1097.5
267,500008,2010,1196.4
268,500008,2011,1259.0
269,500008,2012,1156.5
270,500008,2013,1297.1
271,500008,2014,1027.3
272,500009,1981,1159.2
273,500009,1982,1073.6
274,500009,1983,1230.7
275,500009,1984,1039.2
276,500009,1985,1160.7
277,500009,1986,1155.9
278,500009,1987,1161.2
279,500009,1988,1334.1
280,500009,1989,1120.2
281,500009,1990,1147.4
282,500009,1991,1070.9
283,500009,1992,1010.7
284,500009,1993,964.6
285,500009,1994,1289.2
286,500009,1995,1334.0
287,500009,1996,1267.3
288,500009,1997,1040.4
289,500009,1998,1162.7
290,500009,1999,1445.3
291,500009,2000,1283.3
292,500009,2001,1356.9
293,500009,2002,1242.6
294,500009,2003,1146.9
295,500009,2004,1065.8
296,500009,2005,1170.3
297,500009,2006,1260.2
298,500009,2007,1243.7
299,500009,2008,1106.6
300,500009,2009,1054.8
301,500009,2010,1146.9
302,500009,2011,1217.3
303,500009,2012,1178.7
304,500009,2013,1344.5
305,500009,2014,1016.2
306,500201,1981,1197.2
307,500201,1982,1002.9
308,500201,1983,893.6
309,500201,1984,695.3
310,500201,1985,1344.4
311,500201,1986,1219.9
312,500201,1987,1505.1
313,500201,1988,978.7
314,500201,1989,1271.7
315,500201,1990,717.8
316,500201,1991,1322.8999999999999
317,500201,1992,705.5
318,500201,1993,716.4
319,500201,1994,924.6
320,500201,1995,1018.5
321,500201,1996,1581.0
322,500201,1997,798.3
323,500201,1998,1024.5
324,500201,1999,1455.4
325,500201,2000,1000.0
326,500201,2001,1651.4
327,500201,2002,1321.0
328,500201,2003,1282.6000000000001
329,500201,2004,1129.4
330,500201,2005,1081.0
331,500201,2006,1233.8
332,500201,2007,1408.6
333,500201,2008,932.8
334,500201,2009,799.8
335,500201,2010,731.0
336,500201,2011,901.5
337,500201,2012,1175.8
338,500201,2013,1442.7
339,500201,2014,1215.1
340,500202,1981,1045.4
341,500202,1982,811.7
342,500202,1983,1200.6
343,500202,1984,619.8
344,500202,1985,1186.4
345,500202,1986,922.7
346,500202,1987,1117.9
347,500202,1988,1138.5
348,500202,1989,983.6
349,500202,1990,612.8000000000001
350,500202,1991,1065.9
351,500202,1992,937.6999999999999
352,500202,1993,780.0
353,500202,1994,723.6
354,500202,1995,1054.2
355,500202,1996,896.3
356,500202,1997,945.3
357,500202,1998,759.5
358,500202,1999,1378.1
359,500202,2000,904.5
360,500202,2001,1427.8
361,500202,2002,758.5
362,500202,2003,1232.7
363,500202,2004,712.4
364,500202,2005,1083.2
365,500202,2006,1029.5
366,500202,2007,1240.0
367,500202,2008,586.5
368,500202,2009,730.3
369,500202,2010,875.5
370,500202,2011,684.8
371,500202,2012,800.3
372,500202,2013,1144.8
373,500202,2014,710.0
374,500301,1981,1530.2
375,500301,1982,1047.7
376,500301,1983,1247.6
377,500301,1984,912.7
378,500301,1985,920.7
379,500301,1986,908.8
380,500301,1987,931.0
381,500301,1988,1228.9
382,500301,1989,922.2
383,500301,1990,824.6
384,500301,1991,949.9
385,500301,1992,854.1
386,500301,1993,910.6999999999999
387,500301,1994,903.8
388,500301,1995,1256.0
389,500301,1996,1615.0
390,500301,1997,957.9
391,500301,1998,1036.3
392,500301,1999,1385.8
393,500301,2000,1007.3
394,500301,2001,1349.3
395,500301,2002,905.7
396,500301,2003,1677.4
397,500301,2004,807.4
398,500301,2005,1040.5
399,500301,2006,1120.3
400,500301,2007,1251.8
401,500301,2008,850.9
402,500301,2009,852.2
403,500301,2010,965.1
404,500301,2011,916.1
405,500301,2012,801.6
406,500301,2013,1332.5
407,500301,2014,982.8
